id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id2875421,2,2016-03-14 17:24:55,2016-03-14 17:32:30,1,-73.9821548462,40.7679367065,-73.964630127,40.7656021118,N,455
id2377394,1,2016-06-12 00:43:35,2016-06-12 00:54:38,1,-73.9804153442,40.7385635376,-73.9994812012,40.7311515808,N,663
id3858529,2,2016-01-19 11:35:24,2016-01-19 12:10:48,1,-73.9790267944,40.7639389038,-74.0053329468,40.7100868225,N,2124
id3504673,2,2016-04-06 19:32:31,2016-04-06 19:39:40,1,-74.0100402832,40.7199707031,-74.0122680664,40.7067184448,N,429
id2181028,2,2016-03-26 13:30:55,2016-03-26 13:38:10,1,-73.9730529785,40.7932090759,-73.9729232788,40.7825202942,N,435
id0801584,2,2016-01-30 22:01:40,2016-01-30 22:09:03,6,-73.9828567505,40.7421951294,-73.9920806885,40.7491836548,N,443
id1813257,1,2016-06-17 22:34:59,2016-06-17 22:40:40,4,-73.9690170288,40.7578392029,-73.9574050903,40.7658958435,N,341
id1324603,2,2016-05-21 07:54:58,2016-05-21 08:20:49,1,-73.9692764282,40.7977790833,-73.9224700928,40.760559082,N,1551
id1301050,1,2016-05-27 23:12:23,2016-05-27 23:16:38,1,-73.9994812012,40.7383995056,-73.985786438,40.7328147888,N,255
id0012891,2,2016-03-10 21:45:01,2016-03-10 22:05:26,1,-73.981048584,40.7443389893,-73.9729995728,40.7899894714,N,1225
id1436371,2,2016-05-10 22:08:41,2016-05-10 22:29:55,1,-73.9826507568,40.7638397217,-74.0022277832,40.7329902649,N,1274
id1299289,2,2016-05-15 11:16:11,2016-05-15 11:34:59,4,-73.9915313721,40.7494392395,-73.9565429688,40.7706298828,N,1128
id1187965,2,2016-02-19 09:52:46,2016-02-19 10:11:20,2,-73.9629821777,40.7566795349,-73.9844055176,40.7607192993,N,1114
id0799785,2,2016-06-01 20:58:29,2016-06-01 21:02:49,1,-73.9563064575,40.7679405212,-73.9661102295,40.7630004883,N,260
id2900608,2,2016-05-27 00:43:36,2016-05-27 01:07:10,1,-73.9921951294,40.7272262573,-73.9746551514,40.7830696106,N,1414
id3319787,1,2016-05-16 15:29:02,2016-05-16 15:32:33,1,-73.9555130005,40.7685928345,-73.9487609863,40.7715454102,N,211
id3379579,2,2016-04-11 17:29:50,2016-04-11 18:08:26,1,-73.9911651611,40.7555618286,-73.9992904663,40.725353241,N,2316
id1154431,1,2016-04-14 08:48:26,2016-04-14 09:00:37,1,-73.9942550659,40.745803833,-73.9996566772,40.7233428955,N,731
